Name,Year,Durasi(Menit),Rating,Rated
Hachi: A Dog's Tale,2009,93,9.3,G
My Father and My Son,2005,112,9.3,Not Rated
The Handmaiden,2016,145,9.3,Not Rated
The Sound of Music,1965,172,9.3,G
Into the Wild,2007,148,9.3,R
To Be or Not to Be,1942,99,9.3,Approved
The Battle of Algiers,1966,121,9.3,Not Rated
The Grapes of Wrath,1940,129,9.3,Approved
Groundhog Day,1993,101,9.3,PG
Amores Perros,2000,154,9.3,R
The Iron Giant,1999,86,9.3,PG
Rebecca,1940,130,9.3,Approved
Cool Hand Luke,1967,127,9.3,Approved
The Help,2011,146,9.3,PG-13
It Happened One Night,1934,105,9.3,Approved
Drishyam,2015,163,9.3,Not Rated
Dances with Wolves,1990,181,9.3,PG-13
Aladdin,1992,90,9.3,G
Gangs of Wasseypur,2012,321,9.3,Not Rated
